g band,r band,age [Gyr]
-8.749813,-9.528639,6.833848702089272
-8.060062,-8.832624,6.487428715330026
-8.429495,-9.19949,6.333454596056221
-8.235584,-9.006403,6.388145556803151
-8.432073,-9.254311,7.234704103632563
-8.755858,-9.500042,4.862956807442718
-8.336204,-9.080917,4.8837490260482
-8.598561,-9.370011,6.882171993475435
-8.47264,-9.24804,7.31365173938777
-8.734376,-9.499686,5.963140171814447
-8.71005,-9.495514,7.2440650572124365
-8.461647,-9.301099,7.240077589908344
-8.238955,-9.160435,7.146277748419751
-8.15467,-9.023594,6.638830076472036
-9.087814,-9.832637,4.888025775758834
-8.45004,-9.222902,6.504408143891427
-8.674427,-9.43711,5.783207010138943
-8.552542,-9.291678,4.576028548453179
-7.9671497,-8.834234,6.639004398471144
-8.026244,-8.8286295,7.257314745291843
-8.1308365,-8.90208,6.413684649714746
-8.371724,-9.234007,6.357699275566403
-8.254005,-9.003254,5.081480605559959
-7.9733973,-8.820608,7.236006933796849
-8.796282,-9.57545,6.852596113972633
-7.7545767,-8.588115,10.450525780449603
-8.083044,-8.8680725,7.241990220119861
-8.510335,-9.283626,6.528588472737217
-8.542698,-9.378729,4.935588995303078
-7.977647,-8.816641,6.664758039038129
-8.637179,-9.420557,7.098403429800874
-8.133557,-9.023432,6.0399913044727755
-8.171096,-8.94447,6.5333466902553115
-8.287292,-9.065456,6.797778454420242
-8.366768,-9.151582,7.18085866015322
-8.302578,-9.18186,7.188478854143903
-7.6792803,-8.594522,6.589562959716241
-8.227791,-8.999037,6.413862833366494
-7.901516,-8.728342,10.549134261068112
-8.264196,-9.191019,6.619642943586923
-8.767963,-9.546536,6.820018983544746
-8.861806,-9.642463,6.936815572540529
-8.62148,-9.413935,7.243088724607823
-7.94013,-8.7092495,6.27593319868563
-8.703787,-9.446709,4.81390824775537
-8.313921,-9.086756,6.502817892847376
-8.407629,-9.173842,6.052561597889033
-8.797581,-9.53669,4.644583605614665
-8.440229,-9.184182,4.853977481689606
-8.003233,-8.8426485,7.238328150643061
-8.773977,-9.558425,7.161244315090879
-8.707952,-9.449875,7.586735232715394
-8.367653,-9.1419325,6.584832866549228
-8.163122,-8.997726,6.659195403569077
-8.02652,-8.800418,6.563076629372031
-8.29405,-9.075968,7.011214815805551
-8.520851,-9.304916,7.139855553292311
-8.987893,-9.727019,4.60307479862994
-8.417475,-9.197066,6.875891416835963
-8.236794,-9.034521,6.862296043509237
-8.350749,-9.17069,7.230142638050022
-7.197573,-8.151134,10.467904980557694
-8.821251,-9.560376,4.603906459393903
-8.550158,-9.301297,5.1682781818218615
-7.840801,-8.716963,6.877249361699493
-8.533807,-9.3154955,6.99765885019289
-8.4230585,-9.333486,7.211297088800484
-8.102432,-8.872404,6.332016755152784
-8.57685,-9.350091,6.525767243275242
-9.005808,-9.760461,5.344435045199001
-8.810927,-9.556061,4.900236830597125
-8.602445,-9.385252,7.064232097408762
-7.945228,-8.711973,6.105821065658695
-8.476097,-9.294002,7.249025776654483
-8.4267435,-9.351158,7.159765809493431
-7.9954243,-8.766875,6.425271652599146
-8.202613,-9.122697,7.190935734761283
-8.613131,-9.494607,6.6381327885184085
-8.832312,-9.614612,7.033928986344944
-8.059498,-8.95185,7.211868942196766
-8.028806,-8.931594,9.221892555262853
-8.222458,-8.997486,6.62767152124579
-8.410923,-9.323984,6.910804752390265
-8.845079,-9.588623,4.838045889603336
-8.452115,-9.321766,6.880304964686216
-8.217243,-9.022354,8.800426536681094
-8.496489,-9.377225,7.0380973731329775
-8.459248,-9.282887,6.640920961385401
-8.181554,-8.961066,6.8714748810486475
-8.058116,-8.88611,7.2466676001397445
-7.6983004,-8.600431,7.207906979389944
-7.7176404,-8.643391,7.09467745238939
-8.09348,-8.919151,7.234256466803421
-8.687324,-9.455697,6.227355700569687
-8.477923,-9.294017,7.237065413403667
-8.025774,-8.862941,6.788867509519287
-8.100095,-8.927253,8.799388781223337
-8.127086,-9.020655,7.215461304003327
-8.052295,-8.951408,7.2123586815569585
-8.217722,-9.099685,6.494507333350067
-8.389184,-9.139212,6.883359563828045
-8.467174,-9.319678,7.235192788516825
-8.176457,-9.041177,6.005161343551499
-8.283905,-9.057801,6.562901335541847
-8.2806635,-9.0633955,7.059743312432946
-8.399029,-9.16939,7.256990310292901
-8.362202,-9.127997,6.011097527342593
-8.347454,-9.123236,6.669448081399885
-8.40162,-9.248508,7.175364734621832
-8.6848545,-9.466817,7.013890295830154
-9.085608,-9.825296,4.690516244730373
-8.595493,-9.374128,7.245529054671504
-8.315046,-9.238473,6.8726644428472605
-8.36689,-9.137842,6.397082614228255
